Idioms,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Sentence 1,Sentence 2,Sentence 3,Sentence 4
monkey business,"peculiar or out of the ordinary activities, espe- cially mischievous or illegal ones.",,,,,There’s been some monkey busi- ness in connection with the firm’s accounts. ,Bob left the firm quite suddenly. I think there was some monkey business between him and the boss’s wife. ,,
More fool you!,You are extremely foolish!,,,,,More fool you for agree- ing to lend John money. ,You’ve offered to work for nothing. More fool you! ,,
more’s the pity,it is a great pity or shame, it is sad.,,,,"Jack can’t come, more’s the pity. ","Jane had to leave early, more’s the pity. ",,
move heaven and earth to do something,to make a major effort to do something.,,,,,"“I’ll move heaven and earth to be with you, Mary,” said Bill. ",I had to move heaven and earth to get there on time. ,,
much ado about nothing,a lot of excitement about nothing. (This is the title of a play by Shakespeare.),,,,,All the commotion about the new law turned out to be much ado about nothing. ,Your complaints always turn out to be much ado about nothing. ,,
much of a muchness,very alike or similar, not much different.,,,,I don’t mind whether we go to the restaurant in the high street or the one by the cinema. They’re much of a muchness. ,We can go via Edinburgh or Glasgow. The two journeys are much of a muchness. ,,
much sought after,wanted or desired very much.,,,,,This kind of crystal is much sought after. It’s very rare. ,Sally is a great singer. She’s much sought after. ,,
mum’s the word,don’t spread the secret.,,,,,"Don’t tell anyone what I told you. Remember, mum’s the word. ","Okay, mum’s the word. Your secret is safe with me. ",,
nail in someone’s or something’s coffin,something which will harm or destroy someone or something.,,,,,Every word of criticism that Bob said about the firm was a nail in his coffin. I knew the boss would sack him. ,Losing the export order was the final nail in the company’s coffin. ,,
nail one’s colours to the mast,to commit oneself to a particular course of action or to a particular point of view.,,,,,Fred nailed his colours to the mast by publicly declaring for strike action. ,"Mary really believes in socialism, but she refuses to nail her colours to the mast and join the Labour Party. ",,
naked eye,"the human eye, unassisted by optics such as a telescope, microscope, or spectacles.",,,,,I can’t see the bird’s markings with the naked eye. ,"The scientist could see nothing in the liquid with the naked eye, but with the aid of a microscope, she identified the bacteria. ",,
name of the game,the goal or purpose, the important or central thing.,,,,"The name of the game is sell. You must sell, sell, sell if you want to make a living. ","Around here, the name of the game is look out for yourself. ",,
near the bone,"coming too close to mentioning something which should not be mentioned, for example because it might hurt or offend someone", rather indecent.,,,,Jack’s remark about prisons was a bit near the bone. Jane’s father is on trial just now. ,"Mike’s speech about traffic safety was near the knuckle. Joan, who just had a serious car crash, was in the first row of the audience. ",The comedian’s jokes were a bit near the bone. ,
near the knuckle,"coming too close to mentioning something which should not be mentioned, for example because it might hurt or offend someone", rather indecent.,,,,Uncle Fred’s stories are always near the knuckle.,,,
neck and neck,"exactly even, especially in a race or a contest.",,,,,John and Tom finished the race neck and neck. ,Mary and Ann were neck and neck in the spelling contest. ,,
needs must,"if it is absolutely necessary for something to be done, then it must be done.",,,,,"I don’t want to sell the car, but needs must. I can’t afford to run it. ",Needs must. Mary’ll have to go out to work now that her husband’s died. ,,
neither fish nor fowl,not any recognizable thing.,,,,,The car that they drove up in was neither fish nor fowl. It must have been made out of spare parts. ,This proposal is neither fish nor fowl. I can’t tell what you’re proposing. ,,
neither hide nor hair,no sign or indication (of someone or something).,,,,,We could find neither hide nor hair of him. I don’t know where he is. ,I could see neither hide nor hair of the children. ,,
never fear,do not worry, have confidence.,,,,I’ll be there on timenever fear. ,"I’ll help you, never fear. ",,
never had it so good,[have] never had so much good fortune.,,,,,"No, I’m not complaining. I’ve never had it so good. ",Mary is pleased with her new job. She’s never had it so good. ,,
never in one’s life,not in one’s experience.,,,,,Never in my life have I been so insulted! ,He said that he had never in his life seen such an ugly painting. ,,
never mind,forget it, pay no more attention (to something).,,,,"I wanted to talk to you, but never mind. It wasn’t important. ",Never mind. I’m sorry to bother you. ,,
new lease of life,a renewed and revitalized outlook on life.,,,,,Getting the offer of employment gave James a new lease of life. ,"When I got out of the hospital, I felt I had a new lease of life. ",,
new one on someone,something one has not heard before and that one is not ready to believe.,,,,,Jack’s poverty is a new one on me. He always seems to have plenty of money. ,The firm’s difficulties are a new one on me. I thought that they were doing very well. ,,
night on the town,a night of celebrating (at one or more places in a town).,,,,,Did you enjoy your night on the town? ,"After we got the contract signed, we celebrated with a night on the town. ",,
night owl,someone who usually stays up very late.,,,,,Ann’s a real nightowl. She never goes to bed before 2 a.m. and sleeps until midday. ,Jack’s a nightowl and is at his best after midnight. ,,
nine days’ wonder,something that is of interest to people only for a short time.,,,,,Don’t worry about the story about you in the news- paper. It’ll be a nine days’ wonder and then people will forget. ,The elopement of Jack and Ann was a nine days’ wonder. Now people never mention it. ,,
nine to five job,a job with regular and normal hours.,,,,,I wouldn’t want a ninetofive job. I like the freedom I have as my own employer. ,"I used to work night-shifts, but now I have a ninetofive job. ",,
nip something in the bud,to put an end to something at an early stage.,,,,,"John is getting into bad habits, and it’s best to nip them in the bud. ","There was trouble in the classroom, but the teacher nipped it in the bud. ",,
nobody’s fool,a sensible and wise person who is not easily deceived.,,,,,Mary’s nobody’s fool. She knows Jack would try to cheat her. ,"Ann looks as though she’s not very bright, but she’s nobody’s fool. ",,
no hard feelings,no anger or resentment.,,,,,I hope you don’t have any hard feelings. ,"No, I have no hard feelings. ",,
no holds barred,with no restraints. (From wrestling.),,,,,"I intend to argue it out with Mary, no holds barred. ","When Ann negotiates a contract, she goes in with no holds barred and comes out with a good contract. ",,
no ifs or buts about it,"absolutely no discussion, dissension, or doubt about something.",,,,,"I want you there exactly at eight, no ifs or buts about it. ","This is the best television set available for the money, no ifs or buts about it. ",,
no love lost between someone and someone else,no friendship wasted between someone and someone else (because they are enemies).,,,,,"Ever since their big argument, there has been no love lost between Tom and Bill. ",,,
none the wiser,not knowing any more.,,,,,I was none the wiser about the project after the lecture. It was a complete waste of time. ,"Ann tried to explain the situation tactfully to Jack, but in the end, he was none the wiser. ",,
none the worse for wear,no worse because of use or effort.,,,,,"I lent my car to John. When I got it back, it was none the worse for wear. ","I had a hard day today, but I’m none the worse for wear. ",,
none too something,not very, not at all.,,,,The towels in the bathroom were none too clean. ,It was none too warm in their house. ,,
no skin off someone’s nose,no difficulty for someone, no concern of someone.,,,,It’s no skin off my nose if she wants to act that way. ,She said it was no skin off her nose if we wanted to sell the house. ,,
no sooner said than done,done quickly and obediently.,,,,,"When Sally asked for someone to open the window, it was no sooner said than done. ",,,
no spring chicken,not young (any more).,,,,,"I don’t get around very well any more. I’m no spring chicken, you know. ","Even though John is no spring chicken, he still plays tennis twice a week. ",,
not able to call one’s time one’s own,too busy, so busy as not to be in charge of one’s own schedule.,,,,It’s been so busy around here that I haven’t been able to call my time my own. ,She can’t call her time her own these days. ,,
not able to see the wood for the trees,allowing many details of a problem to obscure the problem as a whole.,,,,,The solution is obvious. You missed it because you can’t see the wood for the trees. ,She suddenly realized that she hadn’t been able to see the wood for the trees. ,,
not able to wait,too anxious to wait, excited (about something in the future), to have to go to the toilet urgently.,,,I’m so excited. I can’t wait. ,Billy couldn’t wait for his birthday. ,"Mum, I can’t wait. ","Driver, stop the bus! My little boy can’t wait."
not born yesterday,experienced, knowledgeable in the ways of the world.,,,,I know what’s going on. I wasn’t born yesterday. ,Sally knows the score. She wasn’t born yesterday. ,,
not breathe a word (about someone or something),to keep a secret about someone or something.,,,,,Don’t worry. I won’t breathe a word about it. ,Please don’t breathe a word about Bob and his problems. ,,
not breathe a word (of something),not to tell something,,,,,Don’t worry. I won’t breathe a word of it. ,Tom won’t breathe a word. ,,
not by a long shot,not by a great amount, not at all.,,,,Did I win the race? Not by a long shot. ,Not by a long shot did she complete the task. ,,
not for anything in the world,not for anything (no matter what its value).,,,,,"She said no, not for anything in the world. ",,,
not for love nor money,not for anything (no matter what its value).,,,,,I won’t do it for love nor money.,,,
not for the world,not for anything (no matter what its value).,,,,,"He said he wouldn’t do it, not for the world. ",,,
not give someone the time of day,to ignore someone (usually out of dislike).,,,,,Mary won’t speak to Sally. She won’t give her the time of day. ,I couldn’t get an appointment with Mr. Smith. He wouldn’t even give me the time of day. ,,
not half bad,okay, pretty good.,,,,"Say, this roast beef isn’t half bad. ","Well, Sally! You’re not half bad! ",,
not have a care in the world,free and casual, unworried and carefree.,,,,I really feel good today—as if I didn’t have a care in the world. ,Ann always acts as though she doesn’t have a care in the world. ,,
nothing but skin and bones,very thin or emaciated.,,,,,Bill has lost so much weight. He’s nothing but skin and bones. ,,,
nothing of the kind,no, absolutely not.,,,,I didn’t insult him—noth- ing of the kind! ,Were we rude? Nothing of the kind! ,,
nothing short of something,more or less the same as something bad, as bad as something.,,,,His behaviour was nothing short of crim- inal. ,Climbing those mountains alone is nothing short of suicide. ,,
nothing to it,it is easy, no difficulty involved.,,,,Driving a car is easy. There’s nothing to it. ,Geometry is fun to learn. There’s noth- ing to it. ,,
nothing to write home about,nothing exciting or interesting.,,,,,"I’ve been busy, but nothing to write home about. ",I had a dull week—nothing to write home about. ,,
not hold water,to make no sense," to be illogical. (Said of ideas or arguments. Like a vessel or container that leaks, the idea has flaws or “holes” in it.)",,,,Your argument doesn’t hold water. ,This scheme won’t work because it won’t hold water. ,,
not in the same league as someone or something,not nearly as good as someone or something.,,,,,John isn’t in the same league as Bob and his friends. He is not nearly as talented. ,This house isn’t in the same league as our old one. ,,
not know someone from Adam,not to know someone at all.,,,,,I wouldn’t recognize John if I saw him. I don’t know him from Adam. ,What does she look like? I don’t know her from Adam. ,,
not lift a finger (to help someone),to do nothing to help someone.,,,,,They wouldn’t lift a finger to help us. ,Can you imagine that they wouldn’t lift a finger? ,,
not long for this world,about to die.,,,,,Our dog is nearly twelve years old and not long for this world. ,I’m so tired. I think I’m not long for this world. ,,
not move a muscle,to remain perfectly motionless.,,,,,Be quiet. Sit there and don’t move a muscle. ,I was so tired I couldn’t move a muscle. ,,
not open one’s mouth,not to say anything at all, not to tell something (to anyone).,,,,"Don’t worry, I’ll keep your secret. I won’t even open my mouth. ",I don’t know how they found out. I didn’t even open my mouth. ,,
no trespassing,do not enter. (Usually seen on a sign. Not usually spoken.),,,,,The sign on the tree said “No Trespassing.” So we didn’t go in. ,,,
not see further than the end of one’s nose,not to care about what is not actually present or obvious, not to care about the future or about what is happening elsewhere or to other people.,,,,"Mary can’t see further than the end of her nose. She doesn’t care about what will happen to the environment in the future, as long as she’s comfort- able now. ",Jack’s been accused of not seeing further than the end of his nose. He refuses to expand the firm and look for new markets. ,,
not set foot somewhere,not to go somewhere.,,,,,I wouldn’t set foot in John’s room. I’m very angry with him. ,He never set foot here. ,,
not show one’s face,not to appear (somewhere).,,,,,"After what she said, she had better not show her face around here again. ","If I don’t say I’m sorry, I’ll never be able to show my face again. ",,
not sleep a wink,not to sleep at all.,,,,,I couldn’t sleep a wink last night. ,Ann hasn’t been able to sleep a wink for a week. ,,
not someone’s cup of tea,not something one likes or prefers.,,,,,Playing cards isn’t her cup of tea. ,"Sorry, that’s not my cup of tea. ",,
not take no for an answer,not to accept someone’s refusal. (A polite way of being insistent.),,,,,"Now, you must drop over and see us tomorrow. We won’t take no for an answer. ",I had to go. They just wouldn’t take no for an answer. ,,
not to darken someone’s door,to go away and not come back.,,,,,The heroine of the drama told the villain not to darken her door again. ,,,
not up to scratch,not adequate.,,,,,"Sorry, your essay isn’t up to scratch. Please do it over again. ",The performance was not up to scratch. ,,
not worth a penny,worthless.,,,,,This land is all swampy. It’s not worth a penny.,,,
no two ways about it,no choice about it, no other interpretation of it.,,,,You have to go to the doctor whether you like it or not. There’s no two ways about it. ,This letter means you’re in trou- ble with the Inland Revenue. There’s no two ways about it. ,,
null and void,cancelled, worthless.,,,,"I tore the contract up, and the entire agreement became null and void. ",The judge declared the whole business null and void. ,,
nuts and bolts (of something),the basic facts about something, the practical details of something.,,,,Tom knows all about the nuts and bolts of the chemical process. ,Ann is familiar with the nuts and bolts of public relations. ,,
odd man out,an unusual or atypical person or thing.,,,,,I’m odd man out because I’m not wearing a tie. ,You had better learn to work a computer unless you want to be odd man out. ,,
odour of sanctity,an atmosphere of excessive holiness or piety. (Derogatory.),,,,,"I hate their house. There’s such an odour of sanctity, with Bibles and holy pictures everywhere. ",,,
off centre,not exactly in the centre or middle.,,,,,The arrow hit the target a little offcentre. ,The picture hanging over the chair is a little offcentre. ,,
off colour,not very well, slightly ill.,,,,Mary is a bit off colour after the long journey. ,Fred went to the doctor when he was feeling off colour. ,,
off the beaten track,in an unfamiliar place, on a route which is not often travelled.,,,,"Their home is in a quiet neighbourhood, off the beaten track. ","We like to stop there and admire the scenery. It’s off the beaten track, but it’s worth the trip. ",,
of the first water,of the finest quality.,,,,,"This is a very fine pearl, a pearl of the first water. ",Tom is a musician of the first water. ,,
of the old school,"holding attitudes and ideas that were popular and important in the past, but are no longer considered relevant or in line with modern trends.",,,,,"Grammar was not taught much in my son’s school, but fortunately he had a teacher of the old school. ",Aunt Jane is of the old school. She never goes out without wearing a hat and gloves. ,,
old enough to be someone’s mother,"as old as someone’s parents. (Usually a way of saying that one person is much older than the other, especially when the difference in age is considered inappropriate.)",,,,,He married a woman who is old enough to be his mother. ,,,
old hand at doing something,someone who is experienced at doing something.,,,,,I’m an old hand at fixing clocks. ,"With four children, he’s an old hand at changing nappies. ",,
on active duty,in battle or ready to go into battle. (Military.),,,,,The soldier was on active duty for ten months. ,That was a long time to be on active duty. ,,
on a first name basis (with someone),knowing someone very well, good friends with someone. (Refers to using a person’s given name rather than a surname or title.),,,,I’m on a firstname basis with John. ,,,
on a fool’s errand,involved in a useless journey or task.,,,,,"Bill went for an interview, but he was on a fool’s errand. The job had already been filled. ",I was sent on a fool’s errand to buy some flowers. I knew the shop would be shut by then. ,,
on all fours,on one’s hands and knees.,,,,,I dropped a contact lens and spent an hour on all fours looking for it. ,"The baby can walk, but is on all fours most of the time. ",,
on a par with someone or something,equal to someone or something.,,,,,Your effort is simply not on a par with what’s expected from you. ,John’s work is not on a par with Bob’s. ,,
on average,generally, usually.,,,,"On average, you can expect about a 10 percent failure. ","On average, we see about ten people a day. ",,
on behalf of someone,[doing something] as someone’s agent, [doing something] in place of someone, for the benefit of someone.,,,"I’m writing on behalf of Mr. Smith, who has applied for a position with your company. ","I’m calling on behalf of my client, who wishes to complain about your actions. ",I’m acting on your behalf. ,
on someone’s behalf, as someone’s agent, [doing something] in place of someone, for the benefit of someone.,,,,,,
once and for all,finally and irreversibly.,,,,,I want to get this problem settled once and for all. ,I told him once and for all that he has to start studying. ,,
once in a blue moon,very rarely.,,,,,"I seldom go to the cinema, maybe once in a blue moon. ",I don’t go into the city except once in a blue moon. ,,
once in a lifetime chance,a chance that will never occur again in one’s lifetime.,,,,,This is a onceinalifetime chance. Don’t miss it. ,"She offered me a onceinalifetime chance, but I turned it down. ",,
once in a while,occasionally.,,,,,I go to see a film once in a while. ,"Once in a while we have lamb, but not very often. ",,
once upon a time,once in the past. (A formula used to begin a fairy tale.),,,,,"Once upon a time, there were three bears. ","Once upon a time, I had a puppy of my own. ",,
on cloud nine,very happy.,,,,,"When I got my promotion, I was on cloud nine. ","When the cheque came, I was on cloud nine for days. ",,
one for the record (books),a record breaking act.,,,,,What a dive! That’s one for the record books. ,I’ve never heard such a funny joke. That’s really one for the record. ,,
one in a hundred,unique, one of a very few.,,,,"Mary’s one in a hundred, such a hard worker.",,,
one in a million,unique, one of a very few.,,,,He’s a great friend. He’s one in a million.,,,
one in a thousand,unique, one of a very few.,,,,"Mary’s one in a thousand, such a hard worker. ",,,
one’s days are numbered,"[for someone] to face death, dismissal, or ruin.",,,,,"If I don’t get this contract, my days are numbered at this firm. ",His days as a member of the club are numbered. ,Uncle Tom has a terminal disease. His days are numbered. ,
one’s eyes are bigger than one’s stomach,[for one] to take more food than one can eat.,,,,,I can’t eat all this. I’m afraid that my eyes were bigger than my stomach when I ordered. ,Try to take less food. Your eyes are bigger than your stomach at every meal. ,,
have eyes bigger than one’s stomach,to have a desire for more food than one could possibly eat.,,,,,"I know I have eyes bigger than my stomach, so I won’t take a lot of food. ",,,
one’s old stamping ground,the place where one was raised or where one has spent a lot of time.,,,,,Ann should know about that place. It’s near her old stampingground. ,I can’t wait to get back to my old stampingground and see old friends. ,,
one’s way of life,one’s lifestyle, one’s pattern of living.,,,,That kind of thing just doesn’t fit into my way of life. ,Children change one’s way of life. ,,
one’s words stick in one’s throat,one finds it difficult to speak because of emotion.,,,,,My words stick in my throat whenever I try to say something kind or tender. ,"I wanted to apologize, but the words stuck in my throat. ",,
one up (on someone),ahead of someone, with an advantage over someone.,,,,Tom is oneup on Sally because he got a job and she didn’t. ,"Yes, it sounds like Tom is oneup. ",,
on holiday,"away, having a holiday", on holiday.,,,,Where are you going on holiday this year? ,I’ll be away on holiday for three weeks. ,,
only have eyes for someone,"to be loyal to only one person, in the context of romance", to be interested in only one person.,,,,"Oh, Jane! I only have eyes for you! ",Don’t waste any time on Tom. He only has eyes for Ann. ,,
on one’s feet,standing up," in improving health, especially after an illness.",,,,Get on your feet. They are playing the national anthem. ,"I’ve been on my feet all day, and they hurt. ",I hope to be back on my feet next week. ,I can help out as soon as I’m back on my feet. 
on one’s guard,cautious, watchful.,,,,Be on your guard. There are pickpockets around here. ,You had better be on your guard. ,,
on one’s honour,on one’s solemn oath, promised sincerely.,,,,"On my honour, I’ll be there on time. ",He promised on his honour that he’d pay me back next week. ,,
on one’s mind,occupying one’s thoughts, currently being thought about.,,,,You’ve been on my mind all day. ,Do you have something on your mind? You look so serious. ,,
on one’s (own) head be it,one must take the responsibility for one’s actions.,,,,,On your head be it if you set fire to the house. ,James insisted on going to the party uninvited. On his head be it if the host is annoyed. ,,
on one’s toes,alert.,,,,,You have to be on your toes if you want to be in this business. ,My job keeps me on my toes. ,,
on order,ordered with delivery expected.,,,,,Your car is on order. It’ll be here in a few weeks. ,"I don’t have the part in stock, but it’s on order. ",,
on record,recorded for future reference.,,,,,We had the coldest win- ter on record last year. ,This is the fastest race on record. ,,
on sale,offered for sale, able to be bought.,,,,There are antiques on sale at the market. ,,,
on second thoughts,having given something more thought, having reconsidered something.,,,,"On second thoughts, maybe you should sell your house and move into a flat. ","On second thoughts, let’s not go to a film. ",,
on the air,broadcasting (a radio or television programme).,,,,,The radio station came back on the air shortly after the storm. ,We were on the air for two hours. ,,
on the alert (for someone or something),watchful and attentive for someone or something.,,,,,Be on the alert for pickpockets. ,You should be on the alert when you cross the street in heavy traffic. ,,
on the cards,in the future.,,,,,"Well, what do you think is on the cards for tomorrow? ",I asked the managing director if there was a rise on the cards for me. ,,
on the dot,exactly right, in exactly the right place, at exactly the right time.,,,That’s it! You’re right on the dot. ,He got here at one o’clock on the dot. ,,
on the eve of something,"just before something, possibly the evening before something.",,,,,John decided to leave college on the eve of his graduation. ,The team held a party on the eve of the tournament. ,,
on the face of it,superficially, from the way it looks.,,,,"This looks like a serious problem on the face of it. It probably is minor, however. ","On the face of it, it seems worthless. ",,
on the horns of a dilemma,"having to decide between two things, people, etc.",,,,,Mary found herself on the horns of a dilemma. She didn’t know which dress to choose. ,I make up my mind easily. I’m not on the horns of a dilemma very often. ,,
on the loose,running around free.,,,,,Look out! There is a bear on the loose from the zoo. ,Most young people enjoy being on the loose when they go to college. ,,
on the mend,getting well, healing.,,,,"My cold was terrible, but I’m on the mend now. ",What you need is some hot chicken soup. Then you’ll really be on the mend. ,,
on the off chance,"because of a slight possibility that something may happen, might be the case, etc.", just in case.,,,,I went to the theatre on the offchance that there were tickets for the show left. ,"We didn’t think we would get into the football ground, but we went on the offchance. ",,
on the sly,slyly or sneakily.,,,,,He was seeing Mrs. Smith on the sly. ,"She was supposed to be losing weight, but she was eating chocolate on the sly. ",,
on the spot,at exactly the right place, in the place where one is needed, at once, then and there.,,Fortunately the ambulance men were on the spot when the accident happened at the football match. ,I expect the police to be on the spot when and where trouble arises. ,She liked the house so much that she bought it on the spot. ,He was fined on the spot for parking illegally.
on the spur of the moment,suddenly, spontaneously.,,,,We decided to go on the spur of the moment. ,I went on holiday on the spur of the moment. ,,
on the strength of something,"because of the support of something, such as a promise or evidence", owing to something.,,,,"On the strength of your comment, I decided to give John another chance. ","On the strength of my neighbour’s testimony, my case was dismissed. ",,
on the tip of one’s tongue,about to be said, almost remembered.,,,,I have his name right on the tip of my tongue. I’ll think of it in a second. ,"John had the answer on the tip of his tongue, but Ann said it first. ",,
on tiptoe,standing or walking on the front part of the feet (the balls of the feet) with no weight put on the heels. (This is done to gain height or to walk quietly.),,,,,I had to stand on tiptoe to see over the fence. ,I came in late and walked on tiptoe so I wouldn’t wake any- body up. ,,
open a can of worms,to uncover a set of problems or complications, to create unnecessary complications.,,,,"If you start asking questions about the firm’s accounts, you’ll open a can of worms. ",How about clearing up this mess before you open up a new can of worms? ,,
Open and shut case,"something, usually a law case or problem, that is simple and straightforward without complications.",,,,,The murder trial was an openandshut case. The defendant was caught with the murder weapon. ,Jack’s death was an openandshut case of suicide. He left a suicide note. ,,
open book,someone or something that is easy to understand.,,,,,Jane’s an open book. I always know what she is going to do next. ,The council’s intentions are an open book. They want to save money. ,,
open fire (on someone),"to start (doing something, such as asking questions or criticizing).",,,,,The reporters opened fire on the mayor. ,"When the reporters opened fire, the filmstar was smiling, but not for long. ",The soldiers opened fire on the villagers. ,
open one’s heart (to someone),to reveal one’s most private thoughts to someone.,,,,,I always open my heart to my wife when I have a problem. ,It’s a good idea to open your heart every now and then. ,,
open Pandora’s box,to uncover a lot of unsuspected problems.,,,,,"When I asked Jane about her problems, I didn’t know I had opened Pandora’s box. ",You should be cautious with people who are upset. You don’t want to open Pandora’s box. ,,
open season for something,unrestricted hunting of a particular game animal.,,,,,It’s always open season for rabbits around here. ,Is it ever open season for deer? ,,
open secret,"something which is supposed to be secret, but which is known to a great many people.",,,,,"Their engagement is an open secret. Only their friends are supposed to know, but in fact, the whole town knows. ",It’s an open secret that Fred’s looking for a new job. ,,
open the door to something,to permit or allow something to become a possibility.,,,,,Your policy opens the door to cheating. ,Your statement opens the door to John’s candidacy. ,,
order of the day,something necessary or usual at a certain time.,,,,,Warm clothes are the order of the day when camping in the winter. ,Going to bed early was the order of the day when we were young. ,,
other way round,the reverse, the opposite.,,,,"No, it won’t fit that way. Try it the other way round. ",It doesn’t make any sense like that. It belongs the other way round. ,,
out of kilter,out of working order, malfunctioning.,,,,My furnace is out of kilter. I have to call someone to fix it. ,This computer is out of kilter. It doesn’t work. ,,
out of line,improper, inappropriate.,,,,I’m afraid that your behaviour was quite out of line. I do not wish to speak further about this matter. ,"Bill, that remark was out of line. Please be more respectful.",,
out of line (with something),not properly lined up in a line of things, unreasonable when compared with something else, not fitting with what is usual.,,,One of those books on the shelf is out of line with the others. Please fix it. ,The files are out of line also. ,The cost of this meal is out of line with what other restaurants charge. ,Your request is out of line with company policy. 
out of luck,without good luck, having bad fortune.,,,,"If you wanted some icecream, you’re out of luck. ",I was out of luck. I got there too late to get a seat. ,,
out of necessity,because of necessity, because it was necessary.,,,,"I bought this hat out of necessity. I needed one, and this was all there was. ",We sold our car out of necessity. ,,
out of one’s mind,silly and senseless, crazy, irrational.,,,Why did you do that? You must be out of your mind! ,"Good grief, Tom! You’re out of your mind! ",,
out of order,not in the correct order, not following correct procedure.,,,,This book is out of order. Please put it in the right place on the shelf. ,"You’re out of order, John. Please get in the queue after Jane. ",My question was declared out of order by the president. ,"Ann inquired, “Isn’t a motion to table the question out of order at this time?” "
out of pocket expenses,the actual amount of money spent. (Refers to the money one person pays while doing something on someone else’s behalf. One is usually paid back this money.),,,,,My outofpocket expenses for the party were nearly £175. ,My employer usually pays all outofpocket expenses for a business trip. ,,
out of practice,performing poorly because of a lack of practice.,,,,,"I used to be able to play the piano extremely well, but now I’m out of practice. ",The players lost the game because they were out of practice. ,,
out of print,no longer available for sale. (Said of a book or periodical.),,,,,"The book you want is out of print, but perhaps I can find a used copy for you. ","It was published nearly ten years ago, so it’s probably out of print. ",,
out of season,not now available for sale, not now legally able to be hunted or caught.,,,,"Sorry, oysters are out of season. We don’t have any. ",Watermelon is out of season in the winter. ,Are salmon out of season? ,I caught a trout out of season and had to pay a fine. 
out of service,not now operating.,,,,,"Both lifts are out of service, so I had to use the stairs. ",The toilet is temporarily out of service. ,,
out of sorts,not feeling well, cross and irritable.,,,,I’ve been out of sorts for a day or two. I think I’m coming down with flu. ,The baby is out of sorts. Maybe she’s cutting a tooth. ,,
out of stock,not immediately available in a shop, [for goods] to be temporarily unavailable.,,,,"Those items are out of stock, but a new supply will be delivered on Thursday. ","I’m sorry, but the red ones are out of stock. Would a blue one do? ",,
out of the blue,suddenly, without warning.,,,,"Then, out of the blue, he told me he was leaving. ",Mary appeared on my doorstep out of the blue. ,,
out of the corner of one’s eye,[seeing something] at a glance, glimpsing (something).,,,,I saw someone do it out of the corner of my eye. It might have been Jane who did it. ,I only saw the accident out of the corner of my eye. I don’t know who is at fault. ,,
out of the frying-pan into the fire,from a bad situation to a worse situation.,,,,,"When I tried to argue about my fine for a traffic viola- tion, the judge charged me with contempt of court. I really went out of the fryingpan into the fire. ",I got deeply in debt. Then I really got out of the frying-pan into the fire when I lost my job. ,,
out of the question,not possible, not permitted.,,,,"I’m sorry, but leaving early is out of the question. ",You can’t go to France this spring. We can’t afford it. It’s out of the question. ,,
out of the running,no longer being considered, eliminated from a contest.,,,,"After the first part of the diving competition, three of our team were out of the running. ","After the scandal was made public, I was no longer in the running. I pulled out of the election. ",,
out of the swim of things,not in the middle of activity, not involved in things.,,,,"While I had my cold, I was out of the swim of things. ",I’ve been out of the swim of things for a few weeks. Please bring me up to date. ,,
out of the woods,past a critical phase, no longer at risk.,,,,"When the patient got out of the woods, everyone relaxed. ",I can give you a better prediction for your future health when you are out of the woods. ,,
out of thin air,out of nowhere, out of nothing.,,,,"Suddenly, out of thin air, the messenger appeared. ",You just made that up out of thin air. ,,
out of this world,wonderful, extraordinary.,,,,This pie is just out of this world. ,"Look at you! How lovely you look, simply out of this world. ",,
out of turn,not at the proper time, not in the proper order.,,,,"We were permitted to be served out of turn, because we had to leave early. ",Bill tried to register out of turn and was sent away. ,,
out of work,"unemployed, temporarily or permanently.",,,,,How long have you been out of work? ,My brother has been out of work for nearly a year. ,,
out on a limb,"[in or into a situation of] doing something differently from the way others do it, and thus taking a chance or a risk.",,,,,She really went out on a limb when she gave him permission to leave early. ,"As the only one who supported the plan, Bill was out on a limb. ",,
out on parole,out of jail but still under police supervision.,,,,,Bob got out on parole after serving only a few years of his sentence. ,He was out on parole because of good behaviour. ,,
over and done with,finished.,,,,,I’m glad that’s over and done with. ,"Now that I have college over and done with, I can find a job. ",,
over my dead body,not if I can stop you, you’ll have to kill me first (so that I won’t stop you).,,,,You’ll sell this house over my dead body! ,You want to leave college? Over my dead body! ,,
over the hill,over age, too old to do something.,,,,"Now that Mary’s forty, she thinks she’s over the hill. ",My grandfather was over eighty before he felt he was over the hill. ,,
over the hump,over the difficult part.,,,,,"This is a difficult project, but we’re over the hump now. ","I’m halfway through, over the hump, and it looks as though I may finish after all. ",,
over the odds,more than one would expect to pay. (From betting in horseracing.),,,,,We had to pay over the odds for a house in the area where we wanted to live. ,"It’s a nice car, but the owner’s asking well over the odds for it. ",,
go over the top,to do something in an exaggerated or excessive way, to overreact,,,,Jane really went over the top with the dinner she prepared for us. It took her hours to prepare. ,Uncle Jack went completely over the top when he bought my baby’s present. It must have been incredibly expensive. ,,
packed out,very crowded, containing as many people as possible.,,,,The theatre was packed out. ,The cinema was packed out twenty minutes before we arrived. ,,
pack someone off (to somewhere),"to send someone away to somewhere, often with the suggestion that one is glad to do so.",,,,,His parents packed him off to boarding-school as soon as possible. ,John finally has left for France. We packed him off last week. ,,
pack them in,to draw a lot of people.,,,,,It was a good night at the theatre. The play really packed them in. ,The circus manager knew he could pack them in if he advertised the lion tamer. ,,
